lat,lon,hcode,cx,cy
100.108124618,14.0134488942,-1,123,1096
100.108124618,14.0101613867,-1,123,1107
100.108124618,14.0068738793,-1,123,1118
100.108124618,14.0035863718,-1,123,1129
100.108124618,14.0002988643,-1,123,1140
100.108124618,13.9970113568,-1,123,1151
100.108124618,13.9937238494,-1,123,1162
100.108124618,13.9904363419,-1,123,1173
100.108124618,13.9871488344,-1,123,1184
100.108124618,13.983861327,-1,123,1195
100.108124618,13.9805738195,-1,123,1206
100.108124618,13.977286312,-1,123,1217
100.108124618,13.9739988045,-1,123,1228
100.108124618,13.9707112971,-1,123,1239
100.108124618,13.9674237896,-1,123,1250
100.108124618,13.9641362821,-1,123,1261
100.108124618,13.9608487747,-1,123,1272
100.108124618,13.9575612672,-1,123,1283
100.108124618,13.9542737597,-1,123,1294
100.108124618,13.9509862522,-1,123,1305
100.108124618,13.9476987448,-1,123,1316
100.108124618,13.9444112373,-1,123,1327
100.108124618,13.9411237298,-1,123,1338
100.108124618,13.9378362224,-1,123,1349
100.108124618,13.9345487149,-1,123,1360
100.108124618,13.9312612074,-1,123,1371
100.108124618,13.9279736999,-1,123,1382
100.108124618,13.9246861925,-1,123,1393
100.108124618,13.921398685,-1,123,1404
100.108124618,13.9181111775,-1,123,1415
100.108124618,13.9148236701,-1,123,1426
100.108124618,13.9115361626,-1,123,1437
100.108124618,13.9082486551,-1,123,1448
100.108124618,13.9049611476,-1,123,1459
100.108124618,13.9016736402,-1,123,1470
100.108124618,13.8983861327,-1,123,1481
100.108124618,13.8950986252,-1,123,1492
100.108124618,13.8918111178,-1,123,1503
100.108124618,13.8885236103,-1,123,1514
100.108124618,13.8852361028,-1,123,1525
100.108124618,13.8819485953,-1,123,1536
100.108124618,13.8786610879,-1,123,1547
100.108124618,13.8753735804,-1,123,1558
100.108124618,13.8720860729,-1,123,1569
100.108124618,13.8687985655,-1,123,1580
100.108124618,13.865511058,-1,123,1591
100.108124618,13.8622235505,-1,123,1602
100.108124618,13.858936043,-1,123,1613
100.108124618,13.8556485356,-1,123,1624
100.108124618,13.8523610281,-1,123,1635
100.108124618,13.8490735206,-1,123,1646
100.108124618,13.8457860132,-1,123,1657
100.108124618,13.8424985057,-1,123,1668
100.108124618,13.8392109982,-1,123,1679
100.108124618,13.8359234907,-1,123,1690
100.108124618,13.8326359833,-1,123,1701
100.108124618,13.8293484758,-1,123,1712
100.108124618,13.8260609683,-1,123,1723
100.108124618,13.8227734608,-1,123,1734
100.108124618,13.8194859534,-1,123,1745
100.108124618,13.8161984459,-1,123,1756
100.108124618,13.8129109384,-1,123,1767
100.108124618,13.809623431,-1,123,1778
100.108124618,13.8063359235,-1,123,1789
100.108124618,13.803048416,-1,123,1800
100.108124618,13.7997609085,-1,123,1811
100.108124618,13.7964734011,-1,123,1822
100.108124618,13.7931858936,-1,123,1833
100.108124618,13.7898983861,-1,123,1844
100.108124618,13.7866108787,-1,123,1855
100.108124618,13.7833233712,-1,123,1866
100.108124618,13.7800358637,-1,123,1877
100.108124618,13.7767483562,-1,123,1888
100.108124618,13.7734608488,-1,123,1899
100.108124618,13.7701733413,-1,123,1910
100.108124618,13.7668858338,-1,123,1921
100.108124618,13.7635983264,-1,123,1932
100.108124618,13.7603108189,-1,123,1943
100.108124618,13.7570233114,-1,123,1954
100.108124618,13.7537358039,-1,123,1965
100.108124618,13.7504482965,-1,123,1976
100.108124618,13.747160789,-1,123,1987
100.108124618,13.7438732815,-1,123,1998
100.108124618,13.7405857741,-1,123,2009
100.108124618,13.7372982666,-1,123,2020
100.108124618,13.7340107591,-1,123,2031
100.108124618,13.7307232516,-1,123,2042
100.108124618,13.7274357442,-1,123,2053
100.108124618,13.7241482367,-1,123,2064
100.108124618,13.7208607292,-1,123,2075
100.108124618,13.7175732218,-1,123,2086
100.108124618,13.7142857143,-1,123,2097
100.108124618,13.7109982068,-1,123,2108
100.108124618,13.7077106993,-1,123,2119
100.108124618,13.7044231919,-1,123,2130
100.108124618,13.7011356844,-1,123,2141
100.108124618,13.6978481769,-1,123,2152
100.108124618,13.6945606695,-1,123,2163
100.108124618,13.691273162,-1,123,2174
100.108124618,13.6879856545,-1,123,2185
100.108124618,13.684698147,-1,123,2196
100.108124618,13.6814106396,-1,123,2207
100.108124618,13.6781231321,-1,123,2218
100.108124618,13.6748356246,-1,123,2229
100.108124618,13.6715481172,-1,123,2240
100.108124618,13.6682606097,-1,123,2251
100.108124618,13.6649731022,-1,123,2262
100.108124618,13.6616855947,-1,123,2273
100.108124618,13.6583980873,-1,123,2284
100.108124618,13.6551105798,-1,123,2295
100.108124618,13.6518230723,-1,123,2306
100.108124618,13.6485355649,-1,123,2317
100.108124618,13.6452480574,-1,123,2328
100.108124618,13.6419605499,-1,123,2339
100.108124618,13.6386730424,-1,123,2350
100.108124618,13.635385535,-1,123,2361
100.108124618,13.6320980275,-1,123,2372
100.108124618,13.62881052,-1,123,2383
100.108124618,13.6255230126,-1,123,2394
100.108124618,13.6222355051,-1,123,2405
100.108124618,13.6189479976,-1,123,2416
100.108124618,13.6156604901,-1,123,2427
100.108124618,13.6123729827,-1,123,2438
100.108124618,13.6090854752,-1,123,2449
100.108124618,13.6057979677,-1,123,2460
100.108124618,13.6025104603,-1,123,2471
100.108124618,13.5992229528,-1,123,2482
100.108124618,13.5959354453,-1,123,2493
100.108124618,13.5926479378,-1,123,2504
100.108124618,13.5893604304,-1,123,2515
100.108124618,13.5860729229,-1,123,2526
100.108124618,13.5827854154,-1,123,2537
100.108124618,13.5794979079,-1,123,2548
100.108124618,13.5762104005,-1,123,2559
100.108124618,13.572922893,-1,123,2570
100.108124618,13.5696353855,-1,123,2581
100.108124618,13.5663478781,-1,123,2592
100.108124618,13.5630603706,-1,123,2603
100.108124618,13.5597728631,-1,123,2614
100.108124618,13.5564853556,-1,123,2625
100.108124618,13.5531978482,-1,123,2636
100.108124618,13.5499103407,-1,123,2647
100.108124618,13.5466228332,-1,123,2658
100.108124618,13.5433353258,-1,123,2669
100.108124618,13.5400478183,-1,123,2680
100.108124618,13.5367603108,-1,123,2691
100.108124618,13.5334728033,-1,123,2702
100.108124618,13.5301852959,-1,123,2713
100.108124618,13.5268977884,-1,123,2724
100.108124618,13.5236102809,-1,123,2735
100.108124618,13.5203227735,-1,123,2746
100.108124618,13.517035266,-1,123,2757
100.108124618,13.5137477585,-1,123,2768
100.108124618,13.510460251,-1,123,2779
100.108124618,13.5071727436,-1,123,2790
100.108124618,13.5038852361,-1,123,2801
100.108124618,13.5005977286,-1,123,2812
100.108124618,13.4973102212,-1,123,2823
100.108124618,13.4940227137,-1,123,2834
100.108124618,13.4907352062,-1,123,2845
100.108124618,13.4874476987,-1,123,2856
100.108124618,13.4841601913,-1,123,2867
100.108124618,13.4808726838,-1,123,2878
100.108124618,13.4775851763,-1,123,2889
100.108124618,13.4742976689,-1,123,2900
100.108124618,13.4710101614,-1,123,2911
100.108124618,13.4677226539,-1,123,2922
100.108124618,13.4644351464,-1,123,2933
100.111484423,14.2863120143,-1,134,183
100.111484423,14.2830245069,-1,134,194
100.111484423,14.2797369994,-1,134,205
100.111484423,14.2764494919,-1,134,216
100.111484423,14.2731619845,-1,134,227
100.111484423,14.269874477,-1,134,238
100.111484423,14.2665869695,-1,134,249
100.111484423,14.263299462,-1,134,260
100.111484423,14.2600119546,-1,134,271
100.111484423,14.2567244471,-1,134,282
100.111484423,14.2534369396,-1,134,293
100.111484423,14.2501494322,-1,134,304
100.111484423,14.2468619247,-1,134,315
100.111484423,14.2435744172,-1,134,326
100.111484423,14.2402869097,-1,134,337
100.111484423,14.2369994023,-1,134,348
100.111484423,14.2337118948,-1,134,359
100.111484423,14.2304243873,-1,134,370
100.111484423,14.2271368799,-1,134,381
100.111484423,14.2238493724,-1,134,392
100.111484423,14.2205618649,-1,134,403
100.111484423,14.2172743574,-1,134,414
100.111484423,14.21398685,-1,134,425
100.111484423,14.2106993425,-1,134,436
100.111484423,14.207411835,-1,134,447
100.111484423,14.2041243276,-1,134,458
100.111484423,14.2008368201,-1,134,469
100.111484423,14.1975493126,-1,134,480
100.111484423,14.1942618051,-1,134,491
100.111484423,14.1909742977,4,134,502
100.111484423,14.1876867902,4,134,513
100.111484423,14.1843992827,4,134,524
100.111484423,14.1811117753,4,134,535
100.111484423,14.1778242678,4,134,546
100.111484423,14.1745367603,4,134,557
100.111484423,14.1712492528,4,134,568
100.111484423,14.1679617454,4,134,579
100.111484423,14.1646742379,4,134,590
100.111484423,14.1613867304,4,134,601
100.111484423,14.158099223,4,134,612
100.111484423,14.1548117155,4,134,623
100.111484423,14.151524208,4,134,634
100.111484423,14.1482367005,5,134,645
100.111484423,14.1449491931,5,134,656
100.111484423,14.1416616856,6,134,667
100.111484423,14.1383741781,7,134,678
100.111484423,14.1350866707,6,134,689
100.111484423,14.1317991632,6,134,700
100.111484423,14.1285116557,6,134,711
100.111484423,14.1252241482,5,134,722
100.111484423,14.1219366408,5,134,733
100.111484423,14.1186491333,5,134,744
100.111484423,14.1153616258,5,134,755
100.111484423,14.1120741184,5,134,766
100.111484423,14.1087866109,5,134,777
100.111484423,14.1054991034,5,134,788
100.111484423,14.1022115959,5,134,799
100.111484423,14.0989240885,-1,134,810
100.111484423,14.095636581,-1,134,821
100.111484423,14.0923490735,-1,134,832
100.111484423,14.089061566,-1,134,843
100.111484423,14.0857740586,-1,134,854
100.111484423,14.0824865511,-1,134,865
100.111484423,14.0791990436,-1,134,876
100.111484423,14.0759115362,-1,134,887
100.111484423,14.0726240287,-1,134,898
100.111484423,14.0693365212,-1,134,909
100.111484423,14.0660490137,-1,134,920
100.111484423,14.0627615063,-1,134,931
100.111484423,14.0594739988,-1,134,942
100.111484423,14.0561864913,-1,134,953
100.111484423,14.0528989839,-1,134,964
100.111484423,14.0496114764,-1,134,975
100.111484423,14.0463239689,-1,134,986
100.111484423,14.0430364614,-1,134,997
100.111484423,14.039748954,-1,134,1008
100.111484423,14.0364614465,-1,134,1019
100.111484423,14.033173939,-1,134,1030
100.111484423,14.0298864316,-1,134,1041
100.111484423,14.0265989241,-1,134,1052
100.111484423,14.0233114166,-1,134,1063
100.111484423,14.0200239091,-1,134,1074
100.111484423,14.0167364017,-1,134,1085
100.111484423,14.0134488942,-1,134,1096
100.111484423,14.0101613867,-1,134,1107
100.111484423,14.0068738793,-1,134,1118
100.111484423,14.0035863718,-1,134,1129
100.111484423,14.0002988643,-1,134,1140
100.111484423,13.9970113568,-1,134,1151
100.111484423,13.9937238494,-1,134,1162
100.111484423,13.9904363419,-1,134,1173
100.111484423,13.9871488344,-1,134,1184
100.111484423,13.983861327,-1,134,1195
100.111484423,13.9805738195,-1,134,1206
100.111484423,13.977286312,-1,134,1217
100.111484423,13.9739988045,-1,134,1228
100.111484423,13.9707112971,-1,134,1239
100.111484423,13.9674237896,-1,134,1250
100.111484423,13.9641362821,-1,134,1261
100.111484423,13.9608487747,-1,134,1272
100.111484423,13.9575612672,-1,134,1283
100.111484423,13.9542737597,-1,134,1294
100.111484423,13.9509862522,-1,134,1305
100.111484423,13.9476987448,-1,134,1316
100.111484423,13.9444112373,-1,134,1327
